idx,question,category,true_answer,model_answer,accuracy,confidence
40771,"'""There's no"" one of these ""like an old"" one'",PROVERBS,Fool,"What is ""friend""?",0,0.9
190086,'It's someone who worries constantly about his health & often suffers from imaginary illnesses',13-LETTER WORDS,hypochondriac,What is a hypochondriac?,1,0.95
106462,"'A peer, or a member of a college's governing board'",RHYMES WITH YELLOW,a fellow,What is a Fellow?,1,0.9
190564,'In 1997 the Dakotas were declared disaster areas as the cold hit -80 degrees including this factor',THE DAKOTAS,Wind chill factor,What is wind chill?,1,0.9
212328,"'This city was named after Daniel Greysolon, who was also known as Sieur du Lhut'",MINNESOTA,Duluth,What is Duluth?,1,0.95
844,"'Jimmy Stewart played Jefferson Smith, the naive & idealistic appointee to the U.S. Senate in this Capra classic'",POLITICAL MOVIES,Mr. Smith Goes to Washington,"What is ""Mr. Smith Goes to Washington""?",1,1.0
45304,"'If you're a tachophobe, you won't be feeling the need for this'",WHAT ARE YOU AFRAID OF?,speed,What is speed?,1,1.0
155884,'Billy Blanks is the man behind this fitness system that includes elements of tae kwon do',TRENDS,Tae Bo,What is Tae Bo?,1,1.0
126151,'Quiet alliterative nickname of the U.S. Navy's submarine fleet',"TO REMAIN ""SILENT""",the Silent Service,"What is the ""Silent Service""?",1,0.9
184728,"'""KIT"" tells a pal to do this, though he may be far away'",TEXT MESSAGING,keep in touch,"What is ""keep in touch""?",1,1.0
104851,'The 1990s saw a new way to make Jell-O puddings using this type of oven',"JELL-O, EVERYONE",Microwave oven,What is a microwave oven?,1,0.95
137054,"'In 1967 Carl Stokes defeated Seth Taft to become the first black mayor of a major U.S. city, this one'",FIRST THINGS FIRST,Cleveland,"What is Cleveland, Ohio?",1,0.95
65044,"'Reigning from 1449 to 1453, Constantine XI Palaeologus was this empire's last emperor'",HODGEPODGE,Byzantine Empire,What is the Byzantine Empire?,1,1.0
89158,"'October 30, 1974: ""Ali 'Ropes'"" this heavyweight champ'",SPORTS HEADLINES,George Foreman,What is George Foreman?,1,1.0
169718,"'The first prime minister of his country to be born in that land, he was assassinated in 1995'",WORLD LEADERS,Yitzhak Rabin,Who is Yitzhak Rabin?,1,0.95
86816,'This dog wants you to take a bite out of crime',THE DOGS,McGruff the Crime Dog,What is McGruff the Crime Dog?,1,1.0
126234,"'James Leo Herlihy wrote this 1965 novel about Joe Buck, who tries to make it in New York as a stud for hire'",'ROUND MIDNIGHT,Midnight Cowboy,"What is ""Midnight Cowboy""?",1,0.9
193504,'Hilary Duff & her cartoon alter ego try to survive middle school as this title character',ZOOG DISNEY CHANNEL,Lizzie McGuire,Who is Lizzie McGuire?,1,1.0
128258,'A 2010 Bild magazine survey showed that almost half of all Germans would like to forgo the euro to get this back',"GONE ""D""",the Deutsch mark,What is the Deutschmark?,1,0.95
147370,"'Founded in 1836, an Ontario univ. that's part of the University of Toronto bears the name of this British queen'",ONWARD TO ONTARIO,Victoria,What is Queen Victoria?,1,0.95
82330,"'From the Latin for ""earth"", they're the structures the Incas evolved for growing crops on forbidding hillsides'",THE INCAS,terraces,What are terraces?,1,0.95
176268,"'""L'Appel"", the first volume of this French president's WWII memoirs, was published in English as ""The Call To Honor""'",EVERYTHING FRENCH,de Gaulle,Who is Charles de Gaulle?,1,1.0
54402,'Richard Nixon's pal Robt. Abplanalp invented the valve for this type of can',INVENTIONS,Aerosol Can,What is the aerosol can?,1,0.8
112982,"'It's the sea in the line from Exodus ""The sea covered them, they sank as lead in the mighty waters""'",GET OUT YOUR BIBLES,the Red Sea,What is the Red Sea?,1,0.95
162954,"'The Philadelphia Museum of Art has works by this famed local artist, like the one seen here, & a parking lot named for him'",THE ART WORLD,Thomas Eakins,Who is Thomas Eakins?,1,1.0
86790,'It's one layer of toilet paper or wood',3-LETTER WORDS,Ply,What is a ply?,1,0.9
19495,"'This Nathan Lane film is basically ""Home Alone"" with a rodent'",COMEDIES,MouseHunt,"What is ""Mouse Hunt""?",1,1.0
188425,"'In the 1940s General Mills produced dried peas for these ""alphabetical"" (& infamous) army rations'",WAR & PEAS,K-rations,What are K-rations?,1,0.9
119265,"'Term for the Neoclassical style of furniture, decoration & fashion in vogue in Napoleonic France'",TERM ME LOOSE,the Empire Style,What is Empire style?,1,0.9
138926,"'She was a beautiful Nymph before she was turned into a sea monster, doomed to live in a cave opposite Charybdis'",MYTHICAL MENAGERIE,Scylla,Who is Scylla?,1,0.95
120624,'E. Howard Hunt worked initially with this future radio host on many covert activities',THE NIXON ERA,G. Gordon Liddy,Who is G. Gordon Liddy?,1,0.9
32762,"'Sarah goes gaga over Maurice in Graham Greene's novel ""The End of"" this'",LADY GAGA,The End of the Affair,"What is ""The End of the Affair""?",1,0.9
115280,"'The longest river originating in this mountain range is the Garonne, which flows northward through France'",DOUBLE-LETTER GEOGRAPHY,the Pyrenees,What is the Pyrenees?,1,1.0
31035,"'In 1271 he left Venice for the Far East with his father & uncle; 24 years later, he finally made it back home'",WORLD HISTORY,Marco Polo,Who is Marco Polo?,1,1.0
175688,'It's South Korea's chief port & second-largest city',"THE ""USA""",Pusan,What is Busan?,1,0.95
8197,"'Richard Hunt, the first American to attend the Ecole des Beaux-Arts, designed this statue's stone-&-concrete pedestal'",ARCHITECTS,Statue of Liberty,What is the pedestal for the Statue of Liberty?,1,0.9
40666,"'Ashton Kutcher, as a friend of the skipper played by George Clooney, sails off to bring in one more catch in his memory'",UNLIKELY MOVIE SEQUELS,The Perfect Storm,"What is ""Ocean's Fourteen: The Fishing Trip""?",0,0.85
69330,"'This peninsula on Luzon Island in the Philippines fell to the Japanese on April 9, 1942'",PENINSULAS,Bataan,What is the Bataan Peninsula?,1,0.9
86697,'In 2003 Kristin Chenoweth began noodling around as Ms. Noodle on this PBS show',STREET-WISE TV,Sesame Street,What is Sesame Street?,1,0.9
177976,"'An act passed by Parliament July 2, 1767 allowed duty-free exports of this to America--Party!!'",AN HISTORIC OCCASION,tea,What is tea?,1,1.0
124652,'A classic Scarlett O'Hara cocktail contains a squeeze of this (remember the color of Scarlett's eyes)',"POTENT POTABLES, SOUTHERN STYLE",lime,What is a splash of lime juice?,1,0.8
13497,'Retail giant founded in 1893',"""EARS"" TO YOU",Sears,What is Sears?,1,0.95
201857,'In the first century A.D. the Romans invaded the area that is now Scotland & called it this',SCOTLAND,Caledonia,What is Caledonia?,1,0.65
29139,"'Southern sippers often make the alliterative request for this corn mash whiskey ""and branch"" (water)'",POTENT POTABLES,bourbon,What is moonshine?,0,0.8
210891,'This mystic's misspent youth in his native Siberia was noted for its debauchery',TEENS IN HISTORY,Rasputin,Who is Grigori Rasputin?,1,1.0
42574,"'1977:<br />Duane Hall, a brother'",MADE FOR WALKEN,Annie Hall,"What is the role that Christopher Walken played in the 1977 film ""Annie Hall""?",1,1.0
52352,"'From the Latin for ""anoint before"", it's the process by which a bird cleans its feathers with its beak'",BIRDWATCHER'S LINGO,preening,What is preening?,1,1.0
111402,"'Name of this state capital comes from the French for its many trees, ""les bois""'",STATE CAPITALS,Boise,What is Baton Rouge?,0,0.5
59146,"'""Ford County"", his first collection of short stories, is set in Ford County, Mississippi, like his novel ""A Time to Kill""'",IN THE BOOKSTORE,Grisham,Who is John Grisham?,1,1.0
72850,"'Newly discovered, perhaps the oldest playable instrument is one of these, made from a crane's bone'",MUSICAL INSTRUMENTS,Flute,What is a flute?,1,0.9
177644,'Marlene Dietrich played Shanghai Lily in this 1932 film named for a Chinese train',OLD MOVIES,"""Shanghai Express""","What is ""Shanghai Express""?",1,0.9
167253,'Boisterous beatnik Burroughs' book',"THE ""NAKED"" TRUTH","""Naked Lunch""","What is ""Naked Lunch"" by William S. Burroughs?",1,1.0
60065,"'The teller of this tale complained of a sound, ""such a sound as a watch makes when enveloped in cotton""'",LINES FROM POE,"""The Tell-Tale Heart""","What is ""The Tell-Tale Heart""?",1,0.9
59874,'Somniloquism is doing this in one's sleep; it could get you in trouble',THERE'S A WORD FOR THAT,talking,What is talking in one's sleep?,1,0.9
28490,"'On January 1, 1993 this country split into 2 separate states'",SPLIT,Czechoslovakia,What is Czechoslovakia?,1,1.0
108220,"'(VIDEO DAILY DOUBLE):<br />A prime time animated series in 1964, it was revived in 1996 with an updated cast seen here:'",'60S TV,"""Jonny Quest""",What is The Jetsons?,0,0.9
192071,'Some evidence indicates Beethoven moved 79 times during his 35-year stay in this central European capital',MUSICAL EUROPE,Vienna,What is Vienna?,1,0.95
76276,"'In his 1835 book ""Democracy in America"", this Frenchman predicted the present age's 2 superpowers'",AMERICAN HISTORY,Alexis de Tocqueville,Who is Alexis de Tocqueville?,1,0.95
8558,'You can load it in your 8-track',"A LA ""CART""",a (tape) cartridge,What is music?,0,0.9
141036,'Edward Joseph Flanagan',OSCAR-WINNING ROLES,Spencer Tracy,"Who is Spencer Tracy in ""Boys Town""?",1,0.95
201617,'One-handed Roman plus a large receptacle for chewing tobacco expectoration',SHAKESPEAREAN JEOPORTMANTEAU!,Titus Andronicuspidor,What is Coriotankerous? (Coriolanus + Spittoon),0,0.8
118729,'In the 1980s:<br />San Francisco Memorial Hospital',TV MEDICAL SHOWS BY HOSPITAL,"Trapper John, M.D.","What is the show ""St. Elsewhere""?",0,0.9
145288,"'Haakon & Kristin, mascots of this city's Olympics, were named for a Norwegian prince & princess'",WINTER OLYMPICS MASCOTS,Lillehammer,What are the 1994 Lillehammer Winter Olympics?,1,1.0
63860,"'The full title of the play includes his title, ""Prince of Denmark""'",SHAKESPEARE,Hamlet,"What is ""Hamlet""?",1,1.0
203790,'Dial this 3-digit number on the phone to get emergency help',"NUMBER, PLEASE",911,What is 911?,1,1.0
13398,"'This star of ""Donnie Brasco"", ""Heat"" & ""Carlito's Way"" made a film in nearly every year of the 1990s'",AL OR GEORGE,Al Pacino,Who is Al Pacino?,1,0.9
44924,'This artist whose work is seen here illustrated the Boy Scout calendar from 1926-1976',THE LAST BOY SCOUT,Norman Rockwell,Who is Norman Rockwell?,1,0.9
58762,"'According to Billboard, The Angels, with this 1963 song, were the 1st all-white girl group to have a No. 1 hit'",GIRL GROUPS,"""My Boyfriend\'s Back""","What is ""My Boyfriend's Back""?",1,0.9
146613,'Running back Jim Brown',FOOTBALL HALL OF FAMERS' TEAMS,Cleveland Browns,What is the Cleveland Browns?,1,1.0
180548,'Small pieces of fabric stuck to a garment to form a pattern',"A IS FOR ""APPL""",applique,What is applique?,1,0.9
197897,"'""One short sleep past, we wake eternally, / And death shall be no more; Death, thou shalt die""'",NAME THE POET,John Donne,Who is John Donne?,1,0.9
129966,"'As opposed to the dromedary, this type of camel named for an ancient Asian region has 2 humps'",BEAST OF BURDEN,Bactrian,What is a Bactrian camel?,1,1.0
170280,'One of these goes between independent clauses when a conjunction isn't used',LET'S PUNCTUATE,a semicolon,What is a semicolon?,1,1.0
9786,"'Appropriately enough, this New York metropolis is ""Bison City""'",U.S. GEOGRAPHIC NICKNAMES,Buffalo,What is Buffalo?,1,1.0
171116,"'In ""Good Wives"", the second part of this novel, Aunt March dies & leaves her home, Plumfield, to Jo'",LITERATURE,Little Women,"What is ""Little Women""?",1,0.9
185047,"'1963:<br />""'It's Not Unusual' Singer""'",BEST PICTURES IN OTHER WORDS,Tom Jones,"What is ""Tom Jones"", referring to the movie that won Best Picture in 1963 whose name shares that of the popular Welsh singer?",1,0.9
43006,"'In 1932 he starred as ""The Mummy"" in the daddy of all mummy movies'",EGYPTIAN FILM FESTIVAL,Boris Karloff,Who is Boris Karloff?,1,0.9
87194,"'In 2008 October 9 was proclaimed the ""Day"" of this Nordic man said to be the first European to reach North America'",MR. OCTOBER,(Leif) Eriksson,Who is Leif Erikson?,1,1.0
64066,"'In the final fantasy of this short story character, he bravely faces a firing squad'",WALTER WORLD,Walter Mitty,Who is Walter Mitty?,1,1.0
31924,"'Traditional length of time the person associated with the following <a href=""http://www.j-archive.com/media/1992-10-05_DJ_20.jpg"" target=""_blank"">building</a> waited for a kiss:'",KISS,100 years,"What is 10 seconds? This is in reference to the famous photograph of a sailor kissing a nurse in Times Square, New York City on V-J Day, August 14, 1945. It is said that the kiss lasted about 10 seconds.",0,0.95
157096,"'Kurt Vonnegut called it ""Skyscraper National Park""'",U.S. CITIES,New York City,What is New York City?,1,0.2
48349,"'""Grease 2"",<br />""Amazon Women on the Moon"",<br />""The Fabulous Baker Boys""'",FILMOGRAPHIES,Michelle Pfeiffer,What is Michelle Pfeiffer's filmography?,1,0.85
213624,"'Born in Cornish, New Hampshire, Chief Justice Salmon P. Chase went to this Ivy League school'",IVY LEAGUERS,Dartmouth,What is Dartmouth College?,1,0.9
151876,'Jerez de la Frontera is the center of trade in this Spanish wine',POTENT POTABLES,Sherry,What is sherry?,1,1.0
37326,"'Add this letter to ""action"" to get a little bidding action going'",ADD A LETTER,U (for auction),"What is the letter ""e""? (to get ""auction"")",0,0.95
109434,"'His first ancestor to come to America, a maternal forebear, was a Huguenot, Philippe de la Noye, in 1621'",PRESIDENTIAL ANCESTORS,Franklin Delano Roosevelt,Who is Franklin D. Roosevelt?,0,0.0
184930,'All Peace Corps volunteers in Africa are trained to instruct locals on stopping this retroviral epidemic',WELCOME TO AFRICA,AIDS,What is the HIV/AIDS epidemic?,1,0.95
1659,"'""Doubt"",<br />""Capote""'",PHILMOGRAPHIES,Philip Seymour Hoffman,What is the filmography of Philip Seymour Hoffman?,1,1.0
131643,"'""You say yes<br />I say no<br />you say stop and<br />I say go go go""'",BEATLES LYRICS,"""Hello Goodbye""","What is the song ""Hello, Goodbye"" by The Beatles?",1,0.9
66118,'In this book Miss Havisham dies when her wedding dress catches on fire',THE END,Great Expectations,"What is ""Great Expectations"" by Charles Dickens?",1,0.95
35630,'12 avenues radiate from this Paris structure completed in 1835',PARIS SITES,Arc de Triomphe,What is the Arc de Triomphe?,1,0.95
141839,'Istanbul sits on this inlet',"A ""GOLDEN"" TREASURY",Golden Horn,What is the Golden Horn?,1,0.95
15069,"'Grandma slipped you a $10 bill, the redesigned one with this new fire-bearing symbol of freedom on it'",A DAY WITH GRANDMA,the torch of the Statue of Liberty,What is a depiction of Harriet Tubman on the $10 bill?,1,0.95
154657,"'The Romans called Eros Cupid or this, which they also put after ""Omnia Vincit""'",EROS MYTH,Amor,"What is ""Amor""?",1,0.95
197081,'When Spock checks chronometric data he's looking at measurements of the space-this continuum',STAR TREK JARGON,time,What is the space-time continuum?,0,1.0
49919,"'Along with her companions, Dorothy travels down this colorful ""road"" to visit the Wizard of Oz'",KID LIT,the Yellow Brick Road,What is the Yellow Brick Road?,1,0.9
107875,'All 5 elements of the salt-producing halogen group end in these 3 letters (one element purifies drinking water)',PHYSICAL SCIENCE,-I-N-E,"What is ""ine""?",1,0.9
48361,'Official population 921',NAME THAT NATION,Vatican City,What is the Vatican City?,1,1.0
63977,"'This paper was shut down in 1991 by Boris Yeltsin, but there have been recent incarnations'",NEWSPAPERS,Pravda,What is Pravda?,1,0.9
140862,"'On stage, he says ""Abopbopaloomop"", right before he says ""My kingdom for a horse""'",SHAKESPEAREAN BEFORE & AFTER,Little Richard III,Who is Richard III-legged Race?,0,0.9
103792,"'London, not England /<br />The ghost dog of the Klondike /<br />Here, Buck!  Speak!  Sit!  Stay!'",NOVEL HAIKU,The Call of the Wild,"What is the novel that this haiku is referencing?

What is ""The Call of the Wild"" by Jack London?",1,1.0
55207,"'1955 French thriller with Simone Signoret remade, but not retitled, with Sharon Stone in 1996'",FRENCH FILM REMAKES,Diabolique,"What is ""Diabolique""?",1,1.0
38538,'Look for Jeff Goldblum as the Tricycle Man in this 1975 Robert Altman film set in Tennessee',HE WAS IN THAT?,Nashville,"What is ""Nashville""?",1,0.95
36724,'This Egyptian president was fatally shot while attending a military parade in 1981',ASSASSINATIONS,Anwar Sadat,Who is Anwar Sadat?,1,1.0
144879,"'One of the most lavish of these ""parties"" was young socialite Barbara Hutton's in 1930'",WOMEN'S RITES,Debutante/coming out party,What is a debutante ball?,1,0.8
73093,"'Early machine for computer inputting, such as the IBM 29'","""KEY""",a keypunch,What is a keypunch machine?,1,0.95
12916,"'Found inside another country, this ""Most Serene Republic"" is also the most small republic in Europe'",GLOBAL,San Marino,What is San Marino?,1,1.0
130106,"'Some 20-30% of these are still arranged by friends & relatives, or a go-between called a nakodo'",JAPAN,Marriages,What are marriages?,1,0.9
21960,'These crustaceans that cling to ships & wharves also attach themselves to whales',NATURE,barnacles,What are barnacles?,1,1.0
209245,"'Portugal's King Manuel II, ""The Unfortunate"", did this in 1910 after finding he had no one to defend the throne'",SPAIN & PORTUGAL,abdicated,What is abdicated?,1,1.0
36834,'The 3 men who served as U.S. presidents in the 1970s',ANCIENT HISTORY: THE 1970s,"Richard Nixon, Gerald Ford & Jimmy Carter","Who are Richard Nixon, Gerald Ford, and Jimmy Carter?",1,1.0
147343,'Reggae widow who appears to Scrooge',MUSICAL BEFORE & AFTER,Rita Marley\'s Ghost,"Who is ""Bob Marley and Me""?",0,0.9
120167,"'At an altitude of 12,000 feet, this Bolivian city is the highest national capital'",SPANNING THE GLOBE,La Paz,What is La Paz?,1,1.0
157294,"'His essay ""Civil Disobedience"" was delivered as a lecture & printed as ""Resistance to Civil Government""'",LITERATURE,(Henry David) Thoreau,Who is Henry David Thoreau?,1,1.0
204577,'The quake was this fault's fault',THE SAN FRANCISCO EARTHQUAKE OF 1906,San Andreas,What is the San Andreas fault?,1,0.95
126157,'Brogue',FROM WHAT LANGUAGE?,Gaelic,What is the Irish language?,0,0.9
152244,'Shaw wrote that Eliza Doolittle secretly wishes to drag this man off his pedestal & make love to him',GEORGE BERNARD SHAW,Professor Higgins,Who is Professor Henry Higgins?,1,1.0
2538,"'As a noun, it's a synonym for ""flower"", as a verb, it's to blossom or come into one's own'",SYNONYMS,bloom,"What is ""bloom""?",1,1.0
131446,"'He died in Topeka October 12, 1987, a month after his 100th birthday'",REPUBLICANS,Alf Landon,Who is Everett Dirksen?,1,0.1
127018,'This fluffy white confection holds your Rice Krispies Treats together',JUST DESSERTS,marshmallows,What is marshmallow?,1,1.0
69365,'3-letter term for the head of a British college or the head of a Mafia family',COLLEGE WORDS,Don,"What is ""Don""?",1,0.85
134309,"'In ""Glory Road"", Jon Voight played this school's legendary coach Adolph Rupp'",COLLEGE SPORTS FILMS,University of Kentucky,What is the University of Kentucky?,1,0.8
156356,"'A 1965 novel by this author introduced his alter ego, sci-fi writer Kilgore Trout'",FICTIONAL CHARACTERS,"Kurt Vonnegut, Jr.",Who is Kurt Vonnegut?,1,0.9
183717,"'Mike Nichols' former comedy partner, she co-wrote the ""Tootsie"" screenplay but was uncredited'",PEOPLE OF THE MONTH,Elaine May,Who is Elaine May?,1,1.0
105524,"'The first British recipient of the Victoria Cross, a sailor, received it for actions in the Baltic Sea during this war'",THE WORLD AT WAR,the Crimean War,What is the Crimean War?,0,0.0
203093,"'It can be the name of a newspaper at the top of the first page, or a list of its staff'","TALKING ""HEAD""s",a masthead,What is a masthead?,1,1.0
83367,"'Though Somali is most widely spoken, Djibouti's official languages are Arabic & this, a relic of its colonial past'",DJIBOUTI,French,What is French?,1,0.99
101846,"'Cynical cinema style of the '40s<br />(4,4)'","CROSSWORD CLUES ""F""",film noir,What is Film Noir?,1,1.0
137528,"'Josef Stalin, Newt Gingrich & Adolf Hitler have all been this magazine's ""Man of the Year""'",THE STAND,TIME,What is Time magazine?,1,1.0
113503,"'Born in Kirkcudbrightshire, Scotland in 1747, he took command of the Providence in 1776'",THE AMERICAN REVOLUTION,John Paul Jones,Who is John Paul Jones?,1,1.0
4767,"'At No. 9, this printer-heavy co. from Palo Alto had the biggest payroll bump after acquiring 149,000 EDS workers'",THE FORTUNE 500,HP,What is HP (Hewlett-Packard)?,1,0.9
26304,'This command is the motto of the Girl Scouts of America',IT'S IMPERATIVE,"""Be Prepared""","What is ""be prepared""?",1,1.0
32742,"'Philip Roth titled his 1973 work this, synonymous with the U.S. concept of a mythical magnum opus'",EXPRESS YOURSELF,Great American Novel,"What is ""The Great American Novel""?",1,1.0
157463,"'This Canadian TV sketch comedy troupe leaped to the big screen with ""Brain Candy"" in 1996'","""KID"" STUFF",Kids in the Hall,Who is Kids in the Hall?,1,0.9
83575,'The Symbionese Liberation Army kidnapped this heiress & demanded food for the poor as a ransom',1974,Patty Hearst,Who is Patty Hearst?,1,0.9
29261,'Types of these include running & back',SEWING,stitches,What are stitches?,1,1.0
199728,"'Founded by Sweden's Gustav I Vasa in 1550, this city, Finland's largest, moved to its present site in 1640'",CITY FOUNDERS,Helsinki,What is Helsinki?,1,0.8
10306,'In 1701 this pirate was hanged in London for murder & 5 counts of piracy',HISTORY,Captain Kidd,Who was Captain Kidd?,1,0.95
134722,'Chicago Bears<br />1982-92',PRO FOOTBALL COACHES,Mike Ditka,Who is Mike Ditka?,1,1.0
56857,'Spud & Yam are 2 of the offspring of this toy introduced in 1952',THE TOY BOX,Mr. Potato Head,What is the Mr. Potato Head toy?,1,0.95
175074,"'In a kids' tale, it follows ""Three Billy Goats""'","ENDS IN ""FF""",Gruff,"What is ""Gruff""?",1,1.0
27022,'This city where St. Teresa was born is one of Spain's great religious centers',SPANISH CITIES,Avila,What is Avila?,1,0.9
170468,"'The long white leg hair is called feathers on this horse that originated in Lanarkshire, Scotland'",AND THE HORSE,the Clydesdale,What is the Clydesdale?,1,0.95
2914,'Late black choreographer whose American Dance Theatre became multiracial in the 1960s',DANCE,Alvin Ailey,Who is Alvin Ailey?,1,0.95
170366,'These Greek female prophets made their predictions from the 500s B.C. until suppressed in 393 A.D.',LET ME MAKE A PREDICTION,the Oracles,Who are the Oracle of Delphi?,1,1.0
143015,"'At the 1996 burial of Larry LaPrise, this song's author, we guess they put his right foot in, put his right foot out...'",POTPOURRI,the Hokey Pokey,What is the Hokey Pokey?,1,1.0
106969,"'The song ends by rhyming this word with ""brave""'",THE STAR-SPANGLED BANNER LYRICS,wave,"What is ""wave""?",1,1.0
94651,'In the 1880s he turned his dad's floundering San Francisco Examiner newspaper into a profitmaker',WORKING FOR DADDY,(William Randolph) Hearst,Who is William Randolph Hearst?,1,0.9
63166,'Canada's best-known theatrical event is the annual festival here featuring plays by Shakespeare',SHAKESPEARE,"Stratford, Ontario",What is Stratford?,1,0.95
70374,"'After briefly attending Oxford University, she returned to India in 1941 & married a Parsi lawyer the following year'",WORLD HERSTORY,Indira Gandhi,Who is Indira Gandhi?,1,0.9
188008,"'We don't know if she was statuesque, but Rose Beuret was the longtime love of this sculptor'",19th CENTURY FRANCE,Rodin,Who is Auguste Rodin?,1,1.0
109157,"'1 of 2 popular U.S. films released in late 1987 that had the word ""Baby"" in their titles'","FAMOUS ""BABY""s",Baby Boom or Three Men and a Baby,"What is ""Dirty Dancing""?",0,1.0
18638,"'Held August 1, 1971 at Madison Square Garden, the Concert for Bangladesh was organized by this Brit'",BANGLADESH SLOWLY,George Harrison,Who is George Harrison?,1,0.95
3952,"'C.S. Lewis & Aldous Huxley's deaths on Nov. 22, 1963 were overshadowed by this man's death in Dallas'",DIED ON THE SAME DAY,John Kennedy,Who is John F. Kennedy?,1,1.0
84154,"'""And goodnight Mrs. Calabash, wherever you are""'",HAIL AND FAREWELL,Jimmy Durante,What is the catchphrase that Jimmy Durante would say at the end of his shows?,1,1.0
166185,'A popular Pasadena museum bears the name of this businessman & art collector',SIMPLY SIMON,Norton Simon,Who is Norton Simon?,1,0.999
109698,"'(Hey, I'm Shemar Moore from ""The Young and the Restless"".) I was born in this northern California city that elected Jerry Brown as its mayor in 1998'",AMERICAN HODGEPODGE,Oakland,What is Oakland?,1,0.85
97244,"'Online, this mail-order ""house"" partly owned by Sony offers 12 CDs not for a penny but for free'",STORES WITHOUT WALLS,Columbia House,What is Columbia House?,1,0.9
18526,"'Nicely-Nicely Johnson,<br />Sky Masterson,<br />Nathan Detroit'",PLAYS BY CHARACTERS,"""Guys and Dolls""","What is the play ""Guys and Dolls""?",1,1.0
194318,"'He was the editor of ""Household Words"", which published his ""Hard Times"" in 1854'",ENGLISH LIT,Charles Dickens,Who is Charles Dickens?,1,1.0
173199,"'In 1066, 1758 & 1985 this celestial traveler appeared in our skies'",SPACED OUT,Halley\'s Comet,What is Halley's Comet?,1,1.0
124704,'In 1969 this precursor to the Internet first linked 4 educational institutions',NET WORKING,ARPANET,What is ARPANET?,1,0.9
124155,"'""The Father of Existentialism"", Kierkegaard said that human life requires a ""leap of"" this'",BE ON YOUR KIERKEGAARD,faith,"What is ""faith"" ?",1,0.95
80869,"'Oddly, his tombstone mentions nothing about him being president'",TOMMY ROT!,Thomas Jefferson,Who is Thomas Jefferson?,1,0.9
153328,"'Since 1937, it's been the location of the U.S. gold depository'","""OX"" MARKS THE SPOT",Fort Knox,What is Fort Knox?,1,1.0
13445,'Abd-ul Aziz was this Empire's sultan',WORLD LEADERS: 1871,the Ottoman Empire,What is the Ottoman Empire?,1,1.0
112777,"'""Five years ago, our college campuses were a battleground""'",PRESIDENTIAL ADDRESSES,Nixon,"What is the opening line of President Reagan's speech on education, delivered on April 27, 1983?",0,0.9
9175,"'After Perry met the enemy in the September 1813 battle of this great lake, they were ours'",WON THE BATTLE,Lake Erie,What is Lake Erie?,1,1.0
23687,"'Taking the 'go"" out of escargot, this mollusk is said to be able to lie dormant for months at a time'",CREATURES OF NATURE,the snail,What is a snail?,1,0.9
3349,"'Hey, you saps who think pneumonia killed President Harrison--I've got this kind of theory involving a group plan'","""IRA""",a conspiracy theory,What is the theory that President Harrison was actually assassinated by the Irish Republican Army (IRA)?,1,0.7
124470,'In 1921 this behavioral psychologist known for his anti-Freud stance went into advertising',SCIENTISTS,John Broadus Watson,Who is John B. Watson?,1,0.9
203703,"'It's a ""canine"" antonym of front-runner, as well as a cartoon canine'",TOUGH HODGEPODGE,Underdog,"What is ""underdog""?",1,1.0
180209,"'Just off the peninsula, this 189-sq.-mi. island attracting divers & tourists is part of Quintana Roo state'",YUCATAN LINES,Cozumel,What is Cozumel?,1,0.95
177543,'The name of this month may derive from that of the Greek goddess of love',FROM THE GREEK,April,What is the month of June?,0,0.7
13125,'This mystery author was a racing correspondent for the London Sunday Express for 16 years',CONTEMPORARY AUTHORS,Dick Francis,Who is Dick Francis?,1,1.0
185160,'The Rodrigues night type of this bird was extinct by 1761; the great blue one still lives',BYE BYE BIRDIE,the heron,What is a parrot?,0,1.0
37291,"'In 1960 the Trieste, this type of deep-sea diving craft, made the deepest dive ever--35,800 feet'",ENDS IN AN F SOUND,bathyscaphe,What is a bathyscaphe?,1,0.9
483,"'With 6,640 miles of coast, this state has the longest shoreline'",STATE SUPERLATIVES,Alaska,What is Alaska?,1,0.8
208194,"'In 1941 this ""Father of the Blues"" wrote a book on black musicians, ""Unsung Americans Sung""'","GIVE ME A ""HAND""",W.C. Handy,Who is W.C. Handy?,1,1.0
118946,'Roget is so synonmous with this term that his name is entry meaning it in the OED',"""THE"" BEGINNING",a thesaurus,What is thesaurus?,1,0.9
108602,'In 1810 Jacques-Louis David painted this emperor distributing eagle-topped standards',ART & ARTISTS,Napoleon,Who is Napoleon Bonaparte?,1,0.9
212623,"'Just before he left office he signed a bill creating the toxic waste-cleaning ""Superfund""'",I'LL HAVE THE LAME DUCK,Jimmy Carter,Who is President Jimmy Carter?,1,0.8
1411,'He was born in 1921 on the island of Java; he left office in 1998',HEADS OF STATE,Suharto,Who is Suharto?,1,0.9
11833,'Hi there -- it was the Doors' last No. 1 hit',"""LOVE"" SONGS","""Hello, I Love You""","What is ""Hello, I Love You""?",1,1.0
199934,'Style gurus Stacy London & Clinton Kelly teach fashion do's & don'ts on this TLC show',CABLE TELEVISION,What Not to Wear,What is What Not to Wear?,1,0.95
13383,'It's the Sinatra classic heard here',THE CHAIRMAN OF THE BOARD,"""The Lady is a Tramp""","What is ""My Way""?",0,0.99
