,true_answer,model_answer,question
168640,a Corvette,What is the Chevrolet Corvette?,'John Lingenfelter remodeled this iconic Chevy sports car to go 0-60 in under 2 seconds & even race an F-18'
146567,ToughLove,What is Tough Love?,'Ann Landers was a big supporter of this program for parents who want to control their teenagers'
9161,TVA (the Tennessee Valley Authority),What is the Tennessee Valley Authority (TVA)?,"'Founded in 1933, it's America's largest public power company'"
170887,Java (Java Man),What is Java?,'Paleontologist Eugene Dubois found fossil evidence of Pithecanthus erectus on this island'
72763,Redwood (City),What is Redwood City?,'The seat of San Mateo County is named for this huge tree -- it was a center for its lumber'
146983,a frog,What are frogs?,"'The eyes of these croaking critters usually bulge, but they retract & push down on the mouth to help in swallowing'"
208715,French (manicure),What is a French manicure?,"'""National"" name for the procedure of giving yourself white-tipped fingernails'"
216140,Joan & John Cusack,Who is John Cusack and who is Joan Cusack?,"'The dark comedy ""Grosse Pointe Blank"" starred this actor as an assassin & this sister of his as his office manager'"
184689,J.S. Bach,Who is Johann Sebastian Bach?,"'He wrote ""The Well-Tempered Clavier"" to teach his family musicianship & keyboard technique'"
83836,Greeks,What is the Greek people's fight for independence?,"'Delacroix, like Byron, sided with this people's fight to break free of Turkey, leading to his ""Massacre at Chios""'"
42969,"""Guinness Book of World Records""","What is ""The Guinness Book of World Records""?","'According to itself, it's the biggest-selling copyrighted book, at over 80 million copies'"
104986,bum steer,"What is ""What are things a cowboy might blame for a bad day?""",'Bad cattle or bad advice'
203677,Melrose Place,"What is, M-E-L-R-O-S-E  P-L-A-C-E?","'Andrew Shue,<br />Thomas Calabro,<br />Heather Locklear'"
5058,Steve McGarrett (played by Jack Lord),Who is Steve McGarrett?,"'Every week Danno Williams would ""Book 'Em"" for this boss'"
120328,Fear of France/French things,What is the fear of France or French culture?,'It's the meaning of Gallophobia'
78502,Ben Franklin,Who is Benjamin Franklin?,'The first U.S. stamp bore portraits of George Washington & this first postmaster general'
198918,label it,What is labeling?,"'Many camps insist that you (or, more likely, mom) do this to all your clothing, maybe with a laundry marker'"
42526,UAW (United Auto Workers),What is the United Auto Workers (UAW)?,"'Labor leaders from the state include UMW head Arnold Miller & Walter Reuther, who headed this group'"
154613,Black Sea,What is the color black?,'Color in the name of the body of water known as Marea Neagra in Romanian'
2827,the Golden Age (or the Age of Pericles),What is the Golden Age of Greece?,'The prosperous 5th century B.C. in Greece is better known as this'
60745,another man\'s poison,"What is ""another man's poison""?","'""One man's meat is...""'"
195106,"""Kinky""",What is Kinky Friedman?,"'""Twisted"" nickname of country singer & mystery novelist Richard Friedman'"
27444,headcheese,What is head cheese?,"'This sausage sounds like a big deal, & in France it's known as fromage de tete'"
81878,Bolívar,Who is Simon Bolivar?,"'On June 24, 1821 this Caracas-born leader crushed the Spanish army at Carabobo in Venezuela'"
89925,the first woman in space,What is being the first woman to ever fly in space?,'It was the main claim to fame of a 26-year-old Russian woman named Valentina Tereshkova'
60027,Ringling Brothers,What is Ringling Bros. and Barnum & Bailey Circus?,"'Lou Jacobs clowned around for this circus for 60 years, 1925 to 1985'"
16280,the distance between them,What is distance?,'Coulomb's law says the force between 2 charges is inversely proportional to the square of this'
76452,(Bobbi) McCaughey,Who is Bobbi McCaughey?,"'In 1997 it was a boy, boy, boy, boy, girl, girl, girl for <a href=""http://www.j-archive.com/media/2005-05-13_DJ_05.wmv"">this</a> Iowa woman, as she delivered septuplets'"
179568,on my way,"What does ""OMW"" stand for?",'I'll be there soon: OMW'
45396,a bachelor\'s button,What is a bachelor button?,'This type of flower with a round head has a name that sounds like it's only for single men'
164432,"""Pygmalion""/""My Fair Lady""","Who are characters in the play ""Pygmalion""?","'Freddy Eynsford Hill,<br />Col. Pickering,<br />Henry Higgins'"
37827,"""Marathon Man""",What is Marathon Man?,"'In this 1976 thriller Laurence Olivier displayed his dental skills while asking Dustin Hoffman, ""Is it safe?""'"
157069,the Netherlands/Holland,What is the Netherlands?,"'Clusius, a botanist, is credited with growing the first tulips in this country back in the 16th century'"
189564,corn pipe,What is the Corn Cob Pipe capital of the world?,"'Home to the Missouri Meerschaum Co., Washington, Missouri is hailed as this ""capital of the world""'"
215864,Mt. St. Helens,What is Mount St. Helens?,"'According to National Geographic, it's the most dangerous volcano in the lower 48 states'"
15645,burning at the stake,What is being burned at the stake?,"'The Gray Lady of Scotland's Glamis Castle is said to be Lady Douglas, an accused witch who met this fiery fate'"
43278,England/Great Britain,What is the Lake District in England?,"'Lake Thirlmere,<br />Lake Windermere'"
10791,the Chesapeake,What is Chesapeake Bay?,"'Called the <a href=""http://www.j-archive.com/media/2008-04-08_J_26.jpg"" target=""_blank"">Eastern Shore</a>, Virginia's part of the Delmarva Peninsula is split from the mainland by <a href=""http://www.j-archive.com/media/2008-04-08_J_26a.jpg"" target=""_blank"">this</a> bay'"
39691,the headliner,"What is a ""headliner""?",'The leading performer in a show'
65013,T.S. (Thomas Sterns) Eliot,Who is T.S. Eliot?,"'His innovative poems like ""The Waste Land"" earned him the 1948 Nobel Prize for Literature'"
180642,"""Moby Dick""",Who is Moby Dick?,"'A whale of legendary size & ferocity, tormentor of Ahab'"
212391,Moody Blues (1960s),What is the Moody Blues?,"'The Red Hot Chili Peppers,<br />the Sex Pistols,<br />the Moody Blues'"
21005,Pigs/hogs,What are different breeds of pigs?,"'Hampshire,<br />Poland China,<br />spotted'"
193530,Hamstrings,What are the hamstring muscles?,'They're the muscles that flex the knee; pigs probably don't injure theirs as often as humans do'
117932,The Go-Go\'s,Who are the Go-Go's?,"'Group who recorded the 1982 Top 10 hit heard here:<br />(""Vacation"")'"
87879,Napoléon,Who is Napoleon Bonaparte?,"'Known as ""Madame Mere"", the mother of this French emperor joined him in exile on Elba & outlived him by 15 years'"
59832,Robert Louis Stevenson,"What is the name of the author who left behind the unfinished masterpiece ""Weir of Hermiston"" upon his death in Samoa in 1894?","'When he died in Samoa in 1894, he left behind what many consider his masterpiece, ""Weir of Hermiston""'"
82786,touché,"What is ""touche""?","'Literally French for ""touched"", this expression indicates a hit in fencing'"
152043,Boosters,What are booster rockets?,'Added thrust for takeoffs is provided by these extra rockets attached to the first stage'
212532,Sir John Falstaff,Who is Falstaff?,"'In ""Henry IV, Part II"", Doll Tearsheet calls this rotund gent a ""little tidy Bartholomew boar-pig""'"
93633,(Emanuel) Swedenborg,Who is Emanuel Swedenborg?,"'As you might expect, this influential Christian mystical thinker was born in Sweden, in 1688'"
108622,a medical school degree,What is a medical degree?,"'Though their roles overlap, a psychiatrist, unlike a psychologist, is required to have this degree also'"
178777,"""It\'s A Small World""","What is ""It's a Small World""?","'To this Disney song title, comic Steven Wright adds the thought, ""But I wouldn't want to have to paint it""'"
189429,a turkey,What is a Presidential turkey pardonee?,"'If the prospective ""pardonee"" one of these can't fulfill his duties at an annual Rose Garden event, an alternate is ready'"
182399,Repulsive/repellant,What are repulsive forces?,"'Scientists divide forces between molecules into attractive forces & these ""hideous"" ones'"
93628,(Bjorn) Borg,Who is Bjorn Borg?,'The Ice Man<br />of 1970s tennis'
42720,Calais (from Rodin\'s The Burghers of Calais),What is The Burghers of Calais?,"'Seen in sculpture, Eustache de St. Pierre & 5 other wealthy men made themselves hostages to free this city'"
170319,a godsend,"What is a ""godsend""?","'It's something wanted or needed that happens unexpectedly, perhaps coming from heaven'"
6595,(1 of) Henry II & Eleanor of Aquitaine,Who are King Henry II and Queen Eleanor of Aquitaine?,'Either of the 2 parents of Richard the Lion-Hearted'
3091,"Mozart (""Rock Me Amadeus"")","What is ""Rock Me Amadeus""?",'The title of Falco's biggest hit mentions this fellow Austrian musician'
86003,(Ezra) Pound,Who is Ezra Pound?,"'Arrested near Genoa in May, this American poet would be declared insane & mentally unfit in December'"
172247,last-ditch,What is the last ditch effort?,'Type of final effort that might be required to finish a trench'
69947,"Jesse ""The Body"" Ventura",Who is Jesse Ventura?,'In 1999 he wrestled his way into the Minnesota governor's office'
114875,"""Sunrise, Sunset""","What is ""Sunrise, Sunset?""","'""Fiddler on the Roof"" song that begins with the lyrics heard <a href=""http://www.j-archive.com/media/1997-10-29_DJ_06.mp3"">here</a>:<br /><br /><i>""Is this the little girl I carried, is this the little boy at play...""</i>'"
190425,(Frederic) Chopin,Who is Frederic Chopin?,"'In deteriorating health, he gave his last public piano recital in London at an 1848 benefit for Polish refugees'"
150894,(Anton) Chekhov,Who is Anton Chekhov?,"'His early play ""Ivanov"" opens with a man carrying a gun & yes, a gun does go off by the end'"
111537,"Shadrach, Meshach & Abednego","Who are Shadrach, Meshach, and Abednego?",'The king had these 3 youths cast into a fiery furnace for refusing to worship a golden image'
21851,TV camera,What is a television camera?,"'Patented around 1938, Vladimir Zworykin's iconoscope was the first practical one of these'"
45564,J.S. Bach,Who is Johann Sebastian Bach?,"'His ""Goldberg Variations"" were actually commissioned by a Russian diplomat named Kaiserling'"
108353,the Mississippi & the Missouri,What are the Mississippi River and the Missouri River?,"'Iowa's east & west borders are formed by water, primarily these 2 rivers'"
8516,(James Fenimore) Cooper,Who is James Fenimore Cooper?,"'Writing about this author's ""The Deerslayer"", Twain called its pathos ""funny"" & ""its love-scenes odious""'"
34108,John Wayne characters,What is that they are all Western movie characters?,"'John Chisum,<br />J.D. Cahill,<br />Rooster Cogburn'"
215359,a nerd,"What is ""nerd""?","'This term for a socially inept techie geek first appeared in 1950 in Dr. Seuss's ""If I Ran The Zoo""'"
71913,Penn State University,What is PSU? (Note: PSU stands for Pennsylvania State University),"'Joe Paterno has over 330 coaching wins coaching here: <a href=""http://www.j-archive.com/media/2005-12-09_J_19.mp3"">This is PSU</a>'"
5706,Tigris & Euphrates,What are the Tigris and Euphrates rivers?,"'The ancient Sumerian civilization flourished in the ""Fertile Crescent"" region between these 2 rivers'"
216247,"""Doc"" Holliday",What is Doc Holliday?,'Eleanora Fagan was known as Billie Holiday & John Henry Holliday was known as this'
198421,"""...first in the hearts of his countrymen""","What is ""first in the hearts of his countrymen""?","'It completes Henry Lee's eulogy to Washington, ""To the memory of the man, first in war, first in peace, and...""'"
202812,the Queen Mary II,What is the Queen Mary 2?,"'Gentlemen should be prepared to dress for dinner on this newest Cunard ship, the longest, tallest ocean liner'"
41895,Charles Keeting,Who is Charles Keating?,"'After his Lincoln Savings & Loan failed, costing taxpayers $2.6 billion, this man was convicted in 1992'"
153264,"""The Kiss of the Spider Woman""","What is ""Kiss of the Spider Woman""?",'Manuel Puig's novel about the kiss of this woman was banned in his native Argentina'
71759,Tess of the d\'Urbervilles,"What is ""Tess of the d'Urbervilles""?",'Hardy novel in which the title heroine makes a series of unfortunate decisions...then she's hanged'
89721,"Records (cassettes, CDs)","What are music albums, specifically rock and heavy metal albums?","'In 1985 the PMRC wanted these labeled for ""Parental Guidance"" if they contained explicit lyrics'"
27056,the brown recluse spider,What is a brown recluse spider?,'This North American spider is distinguished by a violin-shaped mark on its back'
12881,a cat-o\'-nine-tails,What is a cat o' nine tails?,"'You can't beat this 9-tailed whip, or maybe you can'"
69671,Becky (Thatcher),"Who is Becky Thatcher from ""The Adventures of Tom Sawyer""?","'""I'll never love anybody but you, Tom, and I'll never marry anybody but you--and you ain't to ever marry anybody but me""'"
138815,"""...done that""","What is ""Done that?""","'Yeah, yeah, I'm sure you know they're the two words that complete the phrase ""Been there...""'"
167337,Battle of Hastings (which Harold II lost),What is the Battle of Hastings?,'The last Anglo-Saxon king of England was killed in this battle'
102525,Beach/beech,"What is ""beach"" and ""beech""?","'A shore area, or a hardwood tree growing near it'"
13479,high energy physics (high energy particle accepted),What is High Energy Physics?,"'The study of collisions that create new particles is this physics branch, HEP for short'"
180094,(Richard) Byrd,Who is Richard E. Byrd?,"'In a 1930 article, this aviator & explorer wondered of Antarctica, ""Is it a continent?""'"
50850,Pee-wee\'s Big Adventure & Big Top Pee-wee,"What are ""Pee-wee's Big Adventure"" and ""Big Top Pee-wee""?",'Paul Reubens' 2 big movies of 1985 & 1988'
200779,"""(Air On The) G String""","What is ""Air on the G String""?","'Despite its name, this ""Air"" from Bach's Suite No. 3 was not inspired by the sight of a stripper's laundry drying on the line'"
187695,(George) Orwell,Who is George Orwell?,"'Disillusioned by the Spanish Civil War, this British author wrote against totalitarianism in ""Animal Farm""'"
98496,Independence Day,What are the top three highest-grossing movies in Hollywood in 1996?,"'1996:<br />""Twister"",<br />""Mission: Impossible"",<br />""Independence Day""'"
87042,Epcot (Disney World accepted),What is Walt Disney World?,"'Blast off on a simulated trip to Mars on Mission: Space, a major thrill ride at this Florida theme park'"
76606,conditioned response/reflex,What is conditioned reflex?,'Of interest to Pavlov: CR'
170022,the jaguar,What is a jaguar?,"'Also called tigre americano, it's unique among big cats in using its canine teeth to pierce the skull of prey'"
196804,a microgram,What is microgram?,'mcg is this tiny unit of measurement'
6029,horse tack,What is the bridle?,"'Cheek strap, snaffle rein'"
179662,a cruller,"What is ""cruller""?","'Oblong, twisty doughnut<br />(7)'"
11508,Karachi,What are three cities that are NOT national capitals?,"'Katmandu,<br />Kabul,<br />Karachi'"
36591,the hateful Grendel,Who is Grendel?,'Beowulf sailed to Denmark on a quest to kill this monster'
76458,India & Bangladesh,What are India and Bangladesh?,'Nobel laureate Rabindranath Tagore wrote the national anthems of these 2 countries'
11479,the beaver,What is a beaver?,"'Also known for its tree carving ability, it's the rodent depicted <a href=""http://www.j-archive.com/media/1998-03-30_DJ_29.jpg"" target=""_blank"">here</a>:'"
89679,The Devil\'s Dictionary,"What is ""The Devil's Dictionary""?",'Ambrose Bierce penned this sardonic reference work in 1906'
178442,roe or rho,What is caviar and what is the letter rho?,"'Fish eggs, or the 17th letter in the Greek alphabet'"
204499,"quality, value, convenience","What are Quality, Value, and Convenience?","'Franklin Mint founder Joseph Segel founded the QVC network, QVC standing for these 3 things'"
150776,colorblindness,What is color blindness?,"'Christmas must be a bummer for you, having this condition & not being able to distinguish between red & green'"
168865,the proboscis,What is a Proboscis?,'It's the long flexible snout of some mammals like the tapir'
2760,Drew\'s views,What is Drew's View?,'The vistas seen from Ms. Barrymore's home'
127196,Mary Chestnut,What is the diary of Mary Chesnut?,"'This famous Mary's diary, published in 1905, gives an inside view of Confederate leaders'"
114871,"""Amazing"" things","What are things that share the name ""Amazing""?","'Grace,<br />Spiderman,<br />Kreskin'"
184107,St. Elmo\'s Fire,"What is ""St. Elmo's Fire""?","'(<a href=""http://www.j-archive.com/media/2006-06-14_DJ_09.jpg"" target=""_blank"">Hi, I'm Joel Schumacher.</a>)  In 1985, I cast Demi Moore, Rob Lowe & Emilio Estevez in this film about young adults struggling to figure things out'"
140298,a Klondike Bar,What is Klondike?,"'""What would you do for"" one of this brand's NASCAR bars with caramel ice cream, a chocolate wafer & peanuts?'"
75566,Mange (Megan),What is mange?,'We felt sorry for Megan when her dog had this skin disease'
145290,(Christopher) Isherwood,Who is Christopher Isherwood?,"'His ""Berlin Stories"" inspired ""I Am a Camera""'"
19101,Wing nuts,What are wingnuts?,"'These handy items are named for their shape, not for being used on airplanes'"
83718,electron-volt,What is an electronvolt (eV)?,"'In present day accelerators, particles reach energies of over 1 trillion eV, this unit'"
182369,Shorthand Writing,What is shorthand?,'Both John R. Gregg & Sir Isaac Pitman are famous for developing & teaching systems of this'
161448,a dictionary writer,What is a lexicographer?,'Lexicographer'
60553,Ezekiel,What is the Valley of the Dry Bones?,"'(<a href=""http://www.j-archive.com/media/2011-03-09_DJ_26.wmv"">Alex walks through the Valley of the Communities at Yad Vashem.</a>)  The Valley of the Communities is a labyrinth of great walls with the names of over 5,000 communities, most of which no longer exist; now the architects were inspired by this biblical prophet's vision of the Valley of the Dry Bones'"
65451,regrets,"What is ""regret""?",'These feelings of distress or sorrow are also what you send to decline an invitation'
42835,Zürich,What is Zurich?,'In Switzerland:<br />Turicum'
76600,low density lipoprotein,What is Low-Density Lipoprotein?,'A fat & cholesterol-carrying molecule: LDL'
6999,Mexico & Libya,What are Mexico City and Tripoli?,"'""From the halls of Montezuma to the shores of Tripoli"" refers to the capitals of these two countries'"
135838,(Juliette Gordon) Low,Who is Juliette Gordon Low?,"'A daughter of the Savannah elite, yes, but now she was 50ish--it was time.  She'd found the Girl Scouts... & her destiny'"
25948,Manchu dynasty,What is the Qing Dynasty?,"'This dynasty, China's last, had a problem with its boxers rising up'"
108749,the saguaro cactus,What is a saguaro cactus?,'Giant succulent of the American Southwest'
130884,Lousiana,Who is the former Louisiana Governor and Senator who is one of two individuals from Louisiana represented in Statuary Hall at the United States Capitol?,'Huey P. Long'
176043,a harp,What is the Harp?,"'Among the oldest instruments known, it's featured on Ireland's coat of arms'"
101399,a tough,What is tough?,"'A goon, a bruiser, a heavy, or a thug'"
205569,Jean Claude van Damme,Who is Jean-Claude Van Damme?,"'As the 2008 film was called ""JCVD"", it would've been hard for anyone but this Belgian to play the title role'"
111232,capris,What are Capri pants?,"'Named for an Italian resort isle, these tight 3/4-length pants have a short slit on the outside of each leg'"
172989,The Rocky Horror Picture Showboat,"What is ""The Rocky Horror Picture Show Boat""?","'Dr. Frank N. Furter is dragged aboard a paddle steamer to sing ""Ol' Man River"" with Paul Robeson in this musical'"
181753,the down beat,What is a downbeat?,"'Depressing as it sounds, it's the stroke made by a conductor at the start of a measure'"
168024,Love of books,What is the love for books or reading?,'Bibliophilism'
77812,the last ad for cigarettes,What was the last cigarette advertised on television?,"'It was for Virginia Slims, on the ""Tonight Show"" Jan. 1, 1971'"
186706,"Richmond(, Virginia)","What is Richmond, Virginia?","'When this future Confederate capital became a city in 1782, half of its population was slaves'"
206546,a farmers\' market,What is a farmers market?,'Fresh produce & cheesesteaks are sold at the USA's oldest continuously operating one of these in Penn.'
60729,the Apostles,What are the Apostle Islands?,"'Surprisingly, these Wisconsin islands have names like Sand, Raspberry & Oak instead of Judas, Andrew & Peter'"
101247,Napoléon Bonaparte,Who is Napoleon Bonaparte?,"'(<a href=""http://www.j-archive.com/media/2010-07-29_DJ_23.wmv"">Jimmy of the Clue Crew shows an animated diagram on the monitor.</a>)  At the 1805 Battle of Austerlitz, enticing the Allies to attack his right flank, this commander's army stormed the center high ground & smashed the Allies'"
74643,"""Hi-Ho"" or ""Hi-Yah!""","What is ""Hi-ho, Kermit the Frog here!""?","'One of the two phrases that begin with ""Hi"" associated with the Muppets seen here'"
202441,3,"What is ""three""?",'Number of the pig you have to be to get roast beef or a brick house'
194392,St. Peter,Who is Saint Peter?,"'He's known for asking Jesus, ""Quo vadis, Domine?"" & being crucified upside-down'"
27285,Rocky Horror Picture Show ,"What is ""The Rocky Horror Picture Show""?",'Mick Jagger wanted to play Dr. Frank-N-Furter in this 1975 film; Tim Curry got the role instead'
189041,in the Rue Morgue,What is Rue Morgue?,"'C. Auguste Dupin is the hero of Edgar Allan Poe's first detective story, ""The Murders"" here'"
50270,Marilyn Monroe & James Monroe,Who are Marilyn Monroe and James Monroe?,"'She gave men ""The Seven Year Itch""; he gave the world his namesake doctrine'"
24629,the Book of Proverbs,What is Proverbs 24:1-2?,"'""Be not thou envious against evil men, neither desire to be with them.  For their heart studieth destruction""'"
119883,Table wine,"What is ""table"" wine?","'""Furniture"" term for wine that contains not more than 14 percent alcohol & is usually served with food'"
128794,the Armada,What is the Spanish Armada?,'Heavy winds sank more of this famed Spanish fleet than the English did'
57806,(John F.) Kennedy,Who is John F. Kennedy?,"'Where were you on Jan. 2, 1960 when this senator announced his candidacy for president?'"
117773,Taiwan (Republic of China),What is Taiwan?,"'In population, it's the largest country that's not a member of the United Nations'"
12491,the railroads,What are the four Railroad spaces on a Monopoly board?,'There are 4 of them on a Monopoly board'
105819,Prime Minister (of Britain),What is the position of Prime Minister of the United Kingdom?,'January 9:<br />Anthony Eden resigns from this job & Harold Macmillan takes over the next day'
15121,the solstice,What is the winter solstice?,"'(<a href=""http://www.j-archive.com/media/2007-11-06_DJ_06.jpg"">Alex reports from Machu Picchu.</a>) The Temple of the Sun just below us was used for calendar purposes; <a href=""http://www.j-archive.com/media/2007-11-06_DJ_06a.jpg"" target=""_blank"">that large ledge</a> in the middle of the room aligns directly with sunlight at sunrise on June 21, the winter one of these in Peru'"
187824,the (San Jose) Sharks,What are the San Jose Sharks?,'The Great Whites'
136500,Cliff\'s Notes,What are CliffsNotes?,'Reading these study aids with the yellow & black covers is no substitute for reading the text'
162167,old growth,What is an old-growth forest?,"'(<a href=""http://www.j-archive.com/media/2006-03-22_DJ_19.jpg"" target=""_blank"">Sarah of the Clue Crew reads from the World Forestry Center in Oregon.</a>)  The Douglas fir is found in Oregon's forest, referred to as this mature 2-word term, often defined as being <a href=""http://www.j-archive.com/media/2006-03-22_DJ_19a.jpg"" target=""_blank"">aged</a> 150 to 200 years'"
215102,the Yucatán peninsula,What is the Yucatan Peninsula?,"'A small type of raccoon with a light coat is found only on Cozumel, an island off this peninsula'"
177650,"""Rose Marie""",What is the movie Rose-Marie?,"'Jimmy Stewart killed a Mountie in this 1936 musical, so singing Mountie Nelson Eddy chased him'"
10899,Door jamb,What is a doorjamb?,'It's a tastier-sounding synonym for a doorcheck or doorpost'
102642,"""Mrs. Doubtfire""",What is Mrs. Doubtfire?,"'In a 1993 hit, Robin Williams played Daniel Hillard, who dressed up as this title character'"
55867,Sibilant,"What is the phonetic symbol for the ""ss"" sound in ""fricassee""?","'From the Latin meaning ""to hiss"", it describes the ""ss"" sound In ""fricassee""'"
114022,Puss \'n Boots,What is Puss in Boots?,"'Charles Perrault popularized the tale of this well-shod feline known in French as ""Le Chat Botte""'"
127054,the Ambersons,"What is ""The Magnificent Ambersons""?","'They're the ""Magnificent"" family written about by Booth Tarkington in a 1919 Pulitzer Prize-winning novel'"
83458,a carrel,"What is a ""carrel""?",'A library cubicle or stall used for private study around holiday time could be called a Christmas this'
183369,(Cornelius) Vanderbilt,Who is Cornelius Vanderbilt?,"'This ""commodore"" left less than 5% of his $100 mil. to his second wife & 8 daughters--the rest went mainly to his son'"
162265,Romeo & Juliet,Who are Romeo and Juliet?,'The Royal Ballet's Kenneth MacMillan choreographed a 1966 film starring Nureyev & Fonteyn as these lovers from Shakespeare'
23883,Baker\'s,What is Baker's Chocolate?,"'In 1833 Abraham Lincoln sold this company's packaged chocolate in his Salem, Ill. country store'"
4916,Microsoft - Disk Operating System,What does MS stand for in the acronym MS-DOS?,'For cybergeeks:  MS-DOS'
163833,the Olympics,What are the first Olympic Games?,'The 1st recorded date in Greek history was equivalent to 776 B.C. when these began'
134323,Bill Cosby,Who is Fat Albert?,"'Hey hey hey! He's the junior seen <a href=""http://www.j-archive.com/media/2008-05-07_DJ_17.jpg"" target=""_blank"">here</a>'"
180453,Bernardo O\'Higgins,Who is Bernardo O'Higgins?,"'After he helped liberate Chile, he got liberated from life on Oct. 24, 1842'"
124306,Liddy Dole,Who is Elizabeth Dole?,"'The pineapple of Bob's eye, she returned to Red Cross leadership in 1997'"
77806,the Revolutionary War,What is the American Revolutionary War?,"'Daniel Bakeman of New York, who died in 1869 at age 109, was the last surviving veteran of this war'"
181409,"The Long, Hot Summer","What is ""Long, Hot Summer""?","'Paul Newman & Joanne Woodward's first film together, it was based on a Faulkner tale'"
210481,"""The Three Sisters""","What is ""Three Sisters""?","'In this Chekhov-based show, Olga, Masha, & Irina have the high-kicking number ""Moscow, Here We Come""'"
130657,having two feet,"What is ""Two""?","'In reference to animals, what biped means'"
38473,a square peg,"What is a ""square peg""?","'The cape-wearing artiste who settled in the village was just one of these ""in a round hole""'"
192818,9,"What is a ""nine days' wonder""?","'In an expression possibly from Shakespeare's time, a short-lived sensation is this many ""days' wonder""'"
7180,"""There\'s no place like home""","What is ""There's no place like home""?","'In ""The Wizard of Oz"", Dorothy clicks her heels & repeats this before she's whisked back to Kansas'"
104568,rats fleeing a sinking ship,"What is ""Abandoning a sinking ship""?",'This nautical & rat metaphor refers to people abandoning a losing side'
202027,Shintoism,What is Shinto?,"'Kagura, one of the oldest forms of Japanese theater, had priestesses dancing at this religion's shrines'"
194486,the fullback,What is a fullback?,'This position is the last line of defense; in the NFL it's the offensive role of Larry Csonka & Moose Johnston'
206017,Urals,What is the Ural Mountains?,'This mountain range extends from the Kara Sea in the north to Kazakhstan in the south'
149107,"""The Air on the G String""","What is ""Air on the G String""?","'A stripper could tell you that Bach's ""Air From Suite No. 3"" is more popularly known as this'"
123092,the Bicentennial,What is the United States Bicentennial?,'(Sarah of the Clue Crew at the Sitka Cultural Center in Alaska)  The white man is depicted here on a totem pole commissioned for this 1976 event'
26541,6,What is six?,'The Braille system is based on the arrangement of up to this many raised dots per character'
145224,Caltech,What is the California Institute of Technology?,'The library at this Pasadena school is named for physicist Robert A. Millikan'
35991,tearful (or sad),What is a mournful or weeping mood?,"'""L"" is for lacrimoso, meaning the music should be of this mood'"
154718,Eugene O\'Neill,Who is Eugene O'Neill?,"'His only comedy among his many plays was 1933's ""Ah, Wilderness!""'"
98243,"""The Emmy""",What is Emmy?,"'The magazine of the Academy of Television Arts & Sciences, or its award'"
33568,rods & cones,What are rods and cones?,"'The eyes have these 2 types of receptor cells; one gives color vision, the other black & white vision in dim light'"
100609,Sandra Day O\'Connor,Who is Sandra Day O'Connor?,'In 1981 she was taken to court--the Supreme Court--as its first woman justice'
101960,(Niccolo) Macchiavelli,Who is Niccolò Machiavelli?,"'On Dec. 10, 1513 he wrote to Francesco Vettori that he had ""composed a little work on princedoms""'"
146160,the ancient Christmas carol (or the ancient Yuletide carol),"What is ""the ancient Yuletide carol""?","'In ""Deck The Halls"", we ""troll"" this, ""Fa la la la la la la la la""'"
70425,6,What is six?,'Number of pockets on a pool table'
89159,Henry the Eighth,Who is King Henry VIII?,'In 1553 Hans Holbein the Younger painted the French ambassadors to this English king's court'
59598,The Beggar\'s Opera,"What is ""The Beggar's Opera""?","'Lavinia Fenton created the role of Polly Peachum in this John Gay ""Opera"", then ran off with the Duke of Bolton'"
11561,France (a French press accepted),"What is a French press, named after the country of France that invented the coffee infusion method?",'The press you can use to infuse your coffee bears the name of this country that invented the infusion method'
149284,the Snake River & the Salmon River,What are the Snake River and the Salmon River?,"'The 2 longest rivers found in Idaho, both named for animals which begin with ""S""'"
147170,The Pride of the Yankees,"What is ""Pride of the Yankees""?","'Several major league ballplayers had cameos in this 1942 Gary Cooper flick, including Babe Ruth & Bill Dickey'"
18381,Unired Arab Emirates,What is the United Arab Emirates?,"'3 of this federation's constituent parts are Ash Shariqah, Al Fujayrah & Umm Al Qaywayn'"
163832,"""Madame Butterfly""",Who is Butterfly?,"'Cio-Cio-San, the geisha in love with Navy Lieutenant B.F. Pinkerton, is better known by this nickname'"
35778,B-R-U-S-C-H-E-T-T-A,What is bruschetta?,"'It's an Italian appetizer of toasted bread, garlic & olive oil, often topped with chopped tomatoes'"
107234,Moby Dick,What is Moby-Dick by Herman Melville?,"'Harpooneers in this novel include Tashtego, Daggoo & Queequeg, a cannibal'"
52912,(Robert) Schumann,Who is Robert Schumann?,'Brahms had some unfinished business with this composer's wife Clara; he was in love with her'
5798,Arabians,What is an Arabian horse?,'1 tale says this breed descends from Muhammad's horses that refused water to answer a battle call'
137200,"""Bohemia""",What is Bohemia?,"'In ""A Scandal in"" this, Sherlock Holmes calls Dr. Watson his ""Boswell""'"
71122,(Usain) Bolt,Who is Usain Bolt?,'Walter Dix of the U.S. ran a 9.91 to take 3rd in the 100-m. at the Beijing Games; this Jamaican ran 9.69 to win'
118150,NBA basketball teams,What are NBA teams?,"'Nets,<br />Nuggets,<br />Mavericks'"
90486,Delta,What is the slogan of Southwest Airlines?,"'""We love to fly and it shows""'"
61639,a rhinovirus,What is a virus?,"'Common nosy agent of infection seen <a href=""http://www.j-archive.com/media/2008-09-29_DJ_23.jpg"" target=""_blank"">here</a> working on your cells'"
73827,"""Les Miserables""",What is Les Miserables?,'Andrea McArdle's daughter Alexis made her Broadway debut in 1996 as young Cosette in this musical'
